step,pair,freq,total_tokens,compression,time_sec
2262,[C@@H1][Branch1][#Branch2],1694,20038762,4.5117,295.3
2263,[C@H1][C][C@H1],1694,20037068,4.512,295.4
2264,[C][=Ring1][S],1694,20035374,4.5124,295.5
2265,[/C][=C][\N],1692,20033682,4.5128,295.6
2266,[/C][=Branch2][Ring1][Ring2],1688,20031994,4.5132,295.7
2267,[Branch1][=Branch1][N+1][=Branch1][C][=O][O-1],1687,20030307,4.5136,295.8
2268,[/C][=Branch1][=Branch2],1687,20028620,4.5139,295.9
2269,[O][=P],1685,20026935,4.5143,296
2270,[N][C][=N][C][=N][Ring1][Branch1],1684,20025251,4.5147,296.2
2271,[C][O][C][=C][C][=C][Branch2][Ring1][Ring1],1682,20023569,4.5151,296.3
2272,[Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],1682,20021887,4.5155,296.4
2273,[=N][C][Branch1][C],1679,20020208,4.5158,296.5
2274,[C][=C][Ring2][Ring1][Branch1][C],1678,20018530,4.5162,296.6
2275,[N][C][=N][C][Branch1][C],1678,20016852,4.5166,296.7
2276,[O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N],1678,20015174,4.517,296.8
2277,[Branch1][O][C],1677,20013497,4.5174,296.9
2278,[C@@H1][Ring1][O],1675,20011822,4.5177,297
2279,[Ring1][C][F],1675,20010147,4.5181,297.1
2280,[O][Ring2][Ring1][N],1675,20008472,4.5185,297.2
2281,[C][/C][=C][/C][=Branch1][C][=O],1674,20006798,4.5189,297.3
2282,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][=Branch2],1672,20005126,4.5192,297.3
2283,[N][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1],1671,20003455,4.5196,297.5
2284,[C][=C][C][=C][C][=C][Ring1][=Branch1][O],1670,20001785,4.52,297.5
2285,[/C][=Branch1][=C],1670,20000115,4.5204,297.6
2286,[C][/C][=C][Branch1][C][\C],1670,19998445,4.5208,297.8
2287,[C][C][=C][N][Branch1],1669,19996776,4.5211,297.9
2288,[N][C][Branch1][C][C][C][C],1669,19995107,4.5215,298
2289,[N][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],1669,19993438,4.5219,298.1
2290,[C][=Branch1][C][=O][N][C@@H1][Branch1][C][C],1668,19991770,4.5223,298.2
2291,[#Branch1][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O],1665,19990105,4.5226,298.3
2292,[Branch1][Ring1][O][C],1664,19988441,4.523,298.4
2293,[N][C][Branch1][C][C][Branch1][C][C][C],1663,19986778,4.5234,298.5
2294,[C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1],1660,19985118,4.5238,298.6
2295,[N][C][Branch1][C][C][=N],1657,19983461,4.5241,298.7
2296,[N][C][=Branch1][C][=O][C][=C][C][=C][O][Ring1][Branch1][C][C],1654,19981807,4.5245,298.8
2297,[N][C][=C][C][=C][C][=C][Ring1][=Branch1][F],1652,19980155,4.5249,298.9
2298,[C][=Ring1][N],1649,19978506,4.5253,299
2299,[C][=C][Branch1][N][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],1649,19976857,4.5256,299.1
2300,[O][C][C][O],1648,19975209,4.526,299.2
2301,[C][=C][C][N][C][C],1647,19973562,4.5264,299.3
2302,[N][Branch1][=Branch1][C][C][C][Ring1][Ring1],1647,19971915,4.5268,299.4
2303,[C@@H1][Branch2][Ring1][#Branch1],1646,19970269,4.5271,299.5
2304,[C][C@][C][C][C@H1],1645,19968624,4.5275,299.6
2305,[N][=N][Ring1][#C],1644,19966980,4.5279,299.7
2306,[N][C][=N][N][=N][Ring1][Branch1],1644,19965336,4.5282,299.8
2307,[C][C@@H1][Branch1][C][O][C@H1],1643,19963693,4.5286,299.9
2308,[C][C][Branch1][C][F][Branch1][C][F][F],1643,19962050,4.529,300
2309,[C][C][C][N][Branch1][=Branch2],1643,19960407,4.5294,300.1
2310,[Ring2][Ring1][Ring2][C],1641,19958766,4.5297,300.2
2311,[C][Branch1][=Branch1][C][=Branch1][C][=O][O],1640,19957126,4.5301,300.3
2312,[C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],1639,19955487,4.5305,300.4
2313,[/C][=Branch1][S],1639,19953848,4.5309,300.5
2314,[N][C][C][C][C][Ring1][Branch1][C][=C][Ring1][=C],1639,19952209,4.5312,300.6
2315,[N][C][=C][C][=C][C][=C][C][Ring1][=Branch1],1639,19950570,4.5316,300.7
2316,[C][=Branch1][C][=O][C@H1][Branch1][C][C],1638,19948932,4.532,300.8
2317,[C@H1][Branch1][#Branch2],1636,19947296,4.5323,300.9
2318,[O][C][Ring1][#Branch1],1635,19945661,4.5327,301
2319,[Ring2][Ring1][#Branch1][=O],1635,19944026,4.5331,301.1
2320,[C][=C][C][=C][C][=C][Ring1][=Branch1][C][N][=N][NH1][N][=Ring1][Branch1],1635,19942391,4.5335,301.2
2321,[Ring1][C][S],1633,19940758,4.5338,301.3
2322,[C][O][C][=C][C][=C][Branch2][Ring2][=Branch1],1632,19939126,4.5342,301.4
2323,[/C][=C][Branch1][Ring1],1631,19937495,4.5346,301.5
